https://motherboard.vice.com/en_us/article/big-data-cambridge-analytica-brexit-trump,Cambridge Analytica: The Data That Turned the World Upside Down
,
http://www.unofficialgoogledatascience.com/2017/01/causality-in-machine-learning.html,Causality in machine learning
,
https://dolphin-emu.org/blog/2017/02/01/dolphin-progress-report-january-2017/,Dolphin Progress Report: January 2017
,
https://techcrunch.com/2017/02/01/tesla-motors-inc-is-now-officially-tesla-inc/,"Tesla Motors, Inc. Is Now Officially Tesla, Inc"
,
http://crypto.stackexchange.com/questions/26336/sha512-faster-than-sha256,SHA-512 is 1.5x faster than SHA-256 on 64-bit platforms
,
http://www.bbc.com/future/story/20170131-the-secret-to-living-a-meaningful-life,Living a Meaningful Life
,
http://introtodeeplearning.com/index.html,6.S191: Introduction to Deep Learning
,
http://www.fakenewschallenge.org/,Fake News Challenge
,
https://andychase.me/mail/gigster-contract/,An Email Thread Between a Developer and Gigster
,
item?id=13546201,Ask HN: When and how should I release my open source tool?
news?p=2,More
